pincode,Division Name,Affiliate,Pin.Code,State,District,Previously Mapped Territory Code,Final Mapped Territory,channel_sales
380058,GENNEXT,AIL,380058,Gujarat,Ahmedabad,PT001375,PT001375,160911.236
124507,GENNEXT,AIL,124507,Haryana,Jhajjar,IT010494,IT010494,35297.395
277207,GENNEXT,AIL,277207,Uttar Pradesh,Ballia,IT007172,IT007172,
560043,GENNEXT,AIL,560043,Karnataka,Bangalore,PT001410,PT001410,140263.309
560064,GENNEXT,AIL,560064,Karnataka,Bangalore,PT001410,PT001410,153231.0182
560102,GENNEXT,AIL,560102,Karnataka,Bangalore,PT001410,PT001410,225296.5367
560103,GENNEXT,AIL,560103,Karnataka,Bangalore,PT001410,PT001410,141506.271
600100,GENNEXT,AIL,600100,Tamil Nadu,Kanchipuram,PT001395,PT001395,166322.7568
846005,GENNEXT,AIL,846005,Bihar,Darbhanga,IT007198,IT007198,
110005,GENNEXT,AIL,110005,Delhi,Delhi,PT001383,PT001383,121027.334
110017,GENNEXT,AIL,110017,Delhi,Delhi,PT005810,PT005810,166757.6804
110033,GENNEXT,AIL,110033,Delhi,Delhi,PT001383,PT001383,32044.8175
110059,GENNEXT,AIL,110059,Delhi,Delhi,PT001383,PT001383,407523.66
110063,GENNEXT,AIL,110063,Delhi,Delhi,PT001383,PT001383,129702.1655
110080,GENNEXT,AIL,110080,Delhi,Delhi,PT005810,PT005810,32929.07
110092,GENNEXT,AIL,110092,Delhi,Delhi,PT005810,PT005810,540385.1604
683563,GENNEXT,AIL,683563,Kerala,Ernakulam,PT001385,PT001385,
201009,GENNEXT,AIL,201009,Uttar Pradesh,Ghaziabad,PT004361,PT004361,169860.6941
534001,GENNEXT,AIL,534001,Andhra Pradesh,West Godavari,PT002286,PT002286,31224.13
122002,GENNEXT,AIL,122002,Haryana,Gurgaon,PT004885,PT004885,135739.4175
500002,GENNEXT,AIL,500002,Telangana,Hyderabad,PT001406,PT001406,9873.0505
500016,GENNEXT,AIL,500016,Telangana,Hyderabad,PT001406,PT001406,56927.5183
262701,GENNEXT,AIL,262701,Uttar Pradesh,Kheri,IT019251,IT019251,1429.04
700059,GENNEXT,AIL,700059,West Bengal,North 24 Parganas,PT001399,PT001399,72223.597
712148,GENNEXT,AIL,712148,West Bengal,Hooghly,IT010745,IT010745,6585.8975
226022,GENNEXT,AIL,226022,Uttar Pradesh,Lucknow,PT001387,PT001387,40745.6177
400058,GENNEXT,AIL,400058,Maharashtra,Mumbai,PT001365,PT001365,24677.215
400064,GENNEXT,AIL,400064,Maharashtra,Mumbai,PT001365,PT001365,39488.20267
400708,GENNEXT,AIL,400708,Maharashtra,Thane,PT001365,PT001365,120782.3749
742149,GENNEXT,AIL,742149,West Bengal,Murshidabad,IT007225,IT007225,4154.0595
201306,GENNEXT,AIL,201306,Uttar Pradesh,Noida,IT007165,IT007165,299203.7155
201309,GENNEXT,AIL,201309,Uttar Pradesh,Noida,IT007165,IT007165,62409.993
800008,GENNEXT,AIL,800008,Bihar,Patna,PT002293,PT002293,3357.6025
411015,GENNEXT,AIL,411015,Maharashtra,Pune,PT001367,PT001367,12215.3105
486001,GENNEXT,AIL,486001,Madhya Pradesh,Rewa,IT018763,IT018763,
632014,GENNEXT,AIL,632014,Tamil Nadu,Vellore,IT007396,IT007396,462.84
759145,GENNEXT,AIL,759145,Odisha,Angul,IT007263,IT007263,103.89
