month,Customer Code,pincode,Zone,Customer Name (Sold to Party),CFA Name,name of customer,SKU No,channel_sales,ECB_Primary_Sales,,
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000410,0,310,,1
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000410,0,620,,
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000410,0,930,,
01-01-26,10022848,500037,South,Optival Health Solutions Pvt L,CFA-AIL-Hyderabad,Medplus,2030000410,0,1240,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000410,0,620,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000410,0,1860,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000410,0,2170,,
01-01-26,10023048,600128,South,Optival Health Solutions Pvt L,CFA-AIL-Chennai,Medplus,2030000410,0,-6.79,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000410,0,930,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000410,0,620,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000410,0,620,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000410,0,620,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000410,0,930,,
01-01-26,10023206,500018,South,KEIMED PRIVATE LIMITED,CFA-AIL-Hyderabad,Apollo Retail,2030000410,0,310,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000410,0,310,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000410,0,-26.66,,
01-01-26,10023253,700056,East,Optival Health Solutions Pvt L,CFA-AIL-Kolkotta,Medplus,2030000410,0,-53.24,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000410,0,2790,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000410,0,620,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000410,0,1550,,
01-01-26,10023515,421302,West,WELLNESS FOREVER MEDICARE LTD,CFA-AIL-Mumbai,Wellness,2030000410,0,1550,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000410,0,310,,
01-01-26,10023780,520007,South,Optival Health Solutions Pvt L,CFA AIL VIJAYAWADA,Medplus,2030000410,0,310,,
01-01-26,10026212,412308,West,Optival Health Solutions Pvt L,CFA-AIL-PUNE,Medplus,2030000410,0,310,,
01-01-26,10026212,412308,West,Optival Health Solutions Pvt L,CFA-AIL-PUNE,Medplus,2030000410,0,310,,
01-01-26,10026212,412308,West,Optival Health Solutions Pvt L,CFA-AIL-PUNE,Medplus,2030000410,0,620,,
01-01-26,10026212,412308,West,Optival Health Solutions Pvt L,CFA-AIL-PUNE,Medplus,2030000410,0,-310,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000410,0,310,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000410,0,310,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000410,0,310,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000410,0,310,,
01-01-26,10026425,700136,East,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-Kolkotta,Apollo Retail,2030000410,0,-99.96,,
01-01-26,10026757,700039,East,NIRAMAY DISTRIBUTORS PVT. LTD.,CFA-AIL-Kolkotta,Frank Ross,2030000410,0,930,,
01-01-26,10027987,700144,North,SASTA SUNDAR HEALTHBUDDY LTD,CFA AIL GHAZIABAD,Flipkart Health +,2030000410,0,2170,,
01-01-26,10027987,700144,North,SASTA SUNDAR HEALTHBUDDY LTD,CFA AIL GHAZIABAD,Flipkart Health +,2030000410,0,1860,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000410,0,1860,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000410,0,310,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000410,0,620,,
01-01-26,10027987,700144,East,SASTA SUNDAR HEALTHBUDDY LTD,CFA-AIL-Kolkotta,Flipkart Health +,2030000410,0,2790,,
01-01-26,10028353,495001,West,SANJEEVANI PHARMA DISTRIBUTORS,CFA-AIL-NAGPUR,Apollo Retail,2030000410,0,620,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000410,0,620,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000410,0,310,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000410,0,-26.62,,
01-01-26,10030843,682018,South,GETWELL MEDICARE SOLUTION PVT,CFA-AIL-Cochin(S),Aster,2030000410,0,-10.64,,
01-01-26,10030932,641026,South,Thulasi Pharmacies India Priva,CFA-AIL-Cochin(S),Thulasi,2030000410,0,310,,
01-01-26,10031282,110020,North,Guardian Healthcare Services P,CFA-AIL-New Delhi,Guardian,2030000410,0,155,,
01-01-26,10031623,122015,North,Threpsi Solutions Private Limi,CFA-AIL-New Delhi,PharmEasy,2030000410,0,93,,
01-01-26,10031623,122015,North,Threpsi Solutions Private Limi,CFA-AIL-New Delhi,PharmEasy,2030000410,0,124,,
01-01-26,10031623,122015,North,Threpsi Solutions Private Limi,CFA-AIL-New Delhi,PharmEasy,2030000410,0,77.5,,
01-01-26,10031623,122015,North,Threpsi Solutions Private Limi,CFA-AIL-New Delhi,PharmEasy,2030000410,0,930,,
01-01-26,10031624,400078,West,THREPSI SOLUTIONS PVT LTD,CFA-AIL-Mumbai,PharmEasy,2030000410,0,3720,,
